R1,G1,B1,R2,G2,B2,Count
165,140,132,99,90,74,97
99,90,74,165,140,132,97
120,109,104,156,140,123,97
156,140,123,120,109,104,97
239,222,222,233,107,108,97
138,123,133,255,255,255,98
239,239,222,206,199,177,98
87,82,84,156,140,123,98
129,120,101,156,140,123,98
239,239,222,187,179,149,99
156,140,123,129,120,101,99
165,148,123,156,156,132,100
239,222,222,99,90,74,100
247,152,156,99,90,74,100
131,115,94,120,109,104,101
206,199,177,239,239,222,101
173,160,127,165,148,123,103
99,90,74,247,152,156,103
112,100,87,99,90,74,105
165,148,123,173,160,127,105
156,140,123,165,148,123,105
156,140,123,156,140,123,106
173,160,127,156,140,123,107
99,90,74,222,222,206,109
165,148,123,99,90,74,109
120,109,104,165,148,123,109
173,82,119,239,239,222,109
156,140,123,156,156,132,110
99,90,74,233,107,108,110
104,92,102,255,255,255,111
112,100,87,239,239,222,111
222,222,206,99,90,74,111
99,90,74,239,222,222,111
233,107,108,245,125,127,111
87,82,84,120,109,104,112
165,140,132,239,239,222,112
147,136,110,239,239,222,114
156,156,132,120,109,104,115
156,156,132,165,148,123,116
99,90,74,131,115,94,117
120,109,104,173,160,127,118
247,152,156,173,82,119,118
156,156,132,129,120,101,119
129,120,101,173,160,127,119
131,115,94,99,90,74,119
156,156,132,156,140,123,120
129,120,101,120,109,104,120
120,109,104,156,156,132,121
239,239,222,112,100,87,121
255,255,255,239,225,192,122
239,239,222,173,82,119,122
120,109,104,129,120,101,124
120,109,104,120,109,104,124
239,239,222,147,136,110,125
129,120,101,129,120,101,125
203,189,203,255,255,255,127
173,82,119,173,82,119,127
239,239,222,131,115,94,129
233,107,108,99,90,74,130
233,107,108,247,152,156,130
173,82,119,247,152,156,131
173,160,127,120,109,104,134
247,152,156,255,255,255,134
187,179,149,239,239,222,135
255,255,255,247,152,156,136
239,239,222,82,79,63,136
255,255,255,206,199,177,137
129,120,101,156,156,132,137
239,239,222,239,222,222,137
247,152,156,233,107,108,137
87,82,84,99,90,74,140
82,79,63,239,239,222,140
239,225,192,255,255,255,145
99,90,74,165,148,123,146
156,156,132,173,160,127,147
206,199,177,255,255,255,147
82,79,63,99,90,74,150
156,140,123,99,90,74,152
239,239,222,165,140,132,154
247,152,156,247,152,156,154
239,222,222,239,239,222,156
129,120,101,99,90,74,156
99,90,74,82,79,63,156
99,90,74,87,82,84,157
255,255,255,165,140,132,158
255,255,255,187,179,149,161
173,160,127,156,156,132,161
247,152,156,239,239,222,161
173,160,127,173,160,127,162
239,239,222,222,222,206,163
233,107,108,239,239,222,163
239,222,222,255,255,255,164
255,255,255,147,136,110,166
99,90,74,129,120,101,167
255,255,255,239,222,222,168
165,140,132,255,255,255,168
239,239,222,247,152,156,170
222,222,206,239,239,222,171
233,107,108,255,255,255,171
239,239,222,233,107,108,172
156,156,132,156,156,132,174
99,90,74,156,140,123,174
255,255,255,233,107,108,174
87,82,84,239,239,222,175
255,255,255,82,79,63,176
173,160,127,99,90,74,176
131,115,94,239,239,222,177
255,255,255,131,115,94,178
99,90,74,156,156,132,180
255,255,255,112,100,87,181
120,109,104,99,90,74,182
239,239,222,87,82,84,183
99,90,74,173,160,127,186
99,90,74,120,109,104,187
165,148,123,239,239,222,189
239,239,222,165,148,123,193
131,115,94,255,255,255,195
147,136,110,255,255,255,196
156,156,132,99,90,74,205
82,79,63,255,255,255,207
156,140,123,239,239,222,209
239,239,222,129,120,101,221
239,239,222,156,140,123,222
255,255,255,156,140,123,227
187,179,149,255,255,255,230
129,120,101,239,239,222,230
